COMUNIDAD;PROVINCIA;MUNICIPIO;SUP M2;FECHA APERTURA;TIENDA;TARIFA;ROL;Nivel de surtido;CV 2022;PROG;CV 2021;PROG;CV 2020
ANDALUCÍA;CÁDIZ;ALGECIRAS;722;19.08.21;PXCA ALGECIRAS - JOSE CARLOS DE LUNA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;979’372.80 €;66%;331’918.28 €;100%; -   € 
CASTILLA Y LEÓN;VALLADOLID;VALLADOLID;154;18.12.20;PXVA TIRSO DE MOLINA;ESTANDAR;URB.RESIDENCIAL;NACIONAL7;977’764.61 €;18%;799’746.87 €;96%;32’468.90 €
CASTILLA Y LEÓN;LEÓN;LEON;223;27.05.21;PXLE ANCHAIII, 7;PLUS;CONVENIENCIA;NACIONAL6;967’574.35 €;50%;482’135.73 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;TORRELODONES;325;25.05.21;PXM TORRELODONES - JESUSA LARA, 18;ESTANDAR;RURAL;NACIONAL4;966’804.46 €;43%;549’108.95 €;100%; -   € 
ANDALUCÍA;MÁLAGA;BENALMADENA;286;13.08.19;PXMA BENALMADENA - EROS;PLUS;URB.RESIDENCIAL;NACIONAL5;962’784.37 €;13%;840’918.25 €;-1%;847’850.47 €
LA RIOJA;LA RIOJA;LARDERO;221;26.04.12;PXLO LARDERO;PLUS;URB.RESIDENCIAL;NACIONAL5;961’409.16 €;-5%;1’010’629.48 €;-17%;1’186’249.77 €
PAÍS VASCO;VIZCAYA;ZALLA;157;21.10.16;PXBI HERMANOS MARISTAS-ZALLA;PLUS;URB.RESIDENCIAL;NACIONAL5;951’264.01 €;11%;849’241.49 €;-7%;912’728.35 €
COMUNIDAD DE MADRID;MADRID;MADRID;186;16.07.21;PXM MARQUES DE VIANA, 79;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;947’681.75 €;64%;343’462.20 €;100%; -   € 
ANDALUCÍA;SEVILLA;SEVILLA;342;07.09.21;PXSE AV FELIPE II, 12-14;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;946’411.59 €;64%;338’923.28 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;211;12.04.19;PXM PANAMÁ5 10;PLUS;URB.RESIDENCIAL;NACIONAL4;945’166.89 €;-21%;1’144’547.89 €;-11%;1’269’545.03 €
CASTILLA LA MANCHA;GUADALAJARA;GUADALAJARA;315;08.03.16;PXGU CALLE FERIAL II;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;944’263.33 €;1%;933’044.32 €;-11%;1’038’503.27 €
COMUNIDAD DE MADRID;MADRID;MADRID;244;14.04.16;PXM CAVANILLES, 27;PLUS;URB.RESIDENCIAL;NACIONAL5;938’873.73 €;9%;856’886.55 €;-14%;981’056.58 €
CASTILLA Y LEÓN;VALLADOLID;VALLADOLID;185;19.01.18;PXVA PASEO HOSPITAL MILITAR, 36;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;934’381.93 €;10%;836’496.61 €;-2%;851’905.39 €
COMUNIDAD FORAL DE NAVARRA;NAVARRA;PAMPLONA/IRUÑA;118;28.10.16;PXNA ITURRAMA,43;PLUS;URB.RESIDENCIAL;NACIONAL7;934’109.42 €;5%;887’977.56 €;7%;829’160.04 €
COMUNIDAD DE MADRID;MADRID;MADRID;120;14.06.19;PXM CALLE IMPERIAL2;XPLUS;URB.COMERCIAL;NACIONAL7;933’414.48 €;19%;752’471.64 €;5%;717’098.50 €
COMUNIDAD DE MADRID;MADRID;MADRID;210;13.12.19;PXM CALLE ESCALONA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;932’109.70 €;1%;926’973.71 €;-9%;1’005’944.12 €
PAÍS VASCO;VIZCAYA;BARAKALDO;172;20.08.21;PXBI BARAKALDO - LIBERTAD, 60;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;929’288.78 €;71%;266’143.14 €;100%; -   € 
CANTABRIA;CANTABRIA;SANTANDER;144;13.12.19;PXS CALLE UNIVERSIDAD II, 2;PLUS;URB.RESIDENCIAL;NACIONAL7;926’324.61 €;19%;751’721.75 €;1%;741’090.93 €
COMUNIDAD DE MADRID;MADRID;MADRID;187;31.05.19;PXM CALLE PADRE CLARET, 11;PLUS;URB.RESIDENCIAL;NACIONAL6;924’705.73 €;11%;826’313.22 €;-14%;938’883.80 €
ARAGÓN;ZARAGOZA;CASPE;208;27.06.19;PXZ SANTA LUCÍA - CASPE;AGRESIVA;URB.RESIDENCIAL;NACIONAL5;920’036.56 €;10%;826’642.97 €;3%;804’619.44 €
COMUNIDAD VALENCIANA;VALENCIA;VALENCIA;153;26.10.16;PXV CALLE QUART, 68;PLUS;URB.RESIDENCIAL;NACIONAL6;919’572.08 €;13%;802’389.75 €;0%;803’708.51 €
ANDALUCÍA;CÓRDOBA;CORDOBA;220;29.06.17;PXCO DR MANUEL RUIZ MAYA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;916’636.36 €;16%;766’375.28 €;-6%;810’825.58 €
ANDALUCÍA;GRANADA;GRANADA;149;10.10.18;PXGR CAMINO BAJO DE HUETOR;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;916’592.07 €;6%;863’978.77 €;-7%;921’832.01 €
CATALUÑA;LÉRIDA;LLEIDA;174;22.02.19;PXL CRONISTA MUNTANER;AGRESIVA;URB.RESIDENCIAL;NACIONAL6;910’623.18 €;10%;823’792.98 €;-10%;903’302.68 €
COMUNIDAD DE MADRID;MADRID;MADRID;362;16.11.18;PXM MAGALLANES2, 15;PLUS;URB.RESIDENCIAL;NACIONAL5;909’966.01 €;-11%;1’007’944.52 €;-32%;1’326’561.19 €
REGIÓN DE MURCIA;MURCIA;CARTAGENA;234;09.09.21;PXMU CARTAGENA JUAN FERNANDEZ;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;908’681.77 €;72%;252’370.59 €;100%; -   € 
CASTILLA Y LEÓN;ZAMORA;PUEBLA DE SANABRIA;396;13.07.18;PXZA PUEBLA DE SANABRIA;ESTANDAR;RURAL;NACIONAL4;906’996.92 €;11%;802’773.78 €;-61%;1’289’983.56 €
ANDALUCÍA;SEVILLA;SEVILLA;160;31.05.18;PXSE CALATRAVA, 16;ESTANDAR;URB.COMERCIAL;NACIONAL6;904’446.02 €;15%;765’980.42 €;1%;757’429.76 €
COMUNIDAD DE MADRID;MADRID;VILLANUEVA DEL PARDILLO;420;26.11.10;PXM VILLANUEVA DEL PARDILLO;PLUS;URB.RESIDENCIAL;NACIONAL5;901’071.54 €;6%;849’272.73 €;-20%;1’017’254.26 €
PAÍS VASCO;VIZCAYA;BAKIO;128;27.03.15;PXBI BAKIO - CALLE ANBIETAKO GOIENKALE, 2;XPLUS;URB.RESIDENCIAL;NACIONAL7;901’043.47 €;6%;849’130.39 €;-5%;890’854.43 €
ANDALUCÍA;SEVILLA;SEVILLA;218;13.10.17;PXSE CRUZ DEL CAMPO;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;900’845.75 €;10%;813’638.71 €;-17%;948’926.33 €
ARAGÓN;TERUEL;TERUEL;221;19.10.17;PXTE AVDA. SAGUNTO 2;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;897’537.18 €;15%;761’932.54 €;-2%;777’893.50 €
PAÍS VASCO;VIZCAYA;LEIOA;264;22.06.16;PXBI LEIOA - AVDA. IPARRAGUIRRE;PLUS;URB.RESIDENCIAL;NACIONAL5;897’331.62 €;8%;829’830.70 €;-17%;972’320.95 €
LA RIOJA;LA RIOJA;LOGROÑO;302;14.11.14;PXLO CALLE GENERAL VARA DE REY, 31;PLUS;URB.COMERCIAL;NACIONAL4;893’211.99 €;11%;792’771.62 €;-15%;908’668.03 €
CASTILLA Y LEÓN;LEÓN;SAN ANDRES DEL RABANEDO;226;02.06.17;PXLE REPUBLICA ARGENTINA2, 26;PLUS;URB.RESIDENCIAL;NACIONAL5;891’337.26 €;16%;748’707.63 €;0%;751’466.00 €
EXTREMADURA;BADAJOZ;OLIVENZA;341;20.03.15;PXBA OLIVENZA - CALLE LOPE DE VEGA, 3;PLUS;RURAL;NACIONAL4;891’217.20 €;-8%;961’331.14 €;-16%;1’111’811.30 €
CASTILLA Y LEÓN;SALAMANCA;SALAMANCA;177;19.12.19;PXSA CARMELITAS;PLUS;URB.RESIDENCIAL;NACIONAL5;889’089.06 €;15%;752’691.29 €;8%;692’712.95 €
ANDALUCÍA;MÁLAGA;RONDA;161;21.12.18;PXMA RONDA;ESTANDAR;URB.COMERCIAL;NACIONAL6;888’781.08 €;25%;669’795.19 €;9%;609’517.79 €
EXTREMADURA;BADAJOZ;BADAJOZ;278;26.05.17;PXBA PZA CONDE DE LA TORRE DEL FRESNO;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;888’762.17 €;8%;816’699.46 €;-11%;904’394.54 €
COMUNIDAD DE MADRID;MADRID;ALCOBENDAS;204;11.06.21;PXM ALCOBENDAS MARQUES DE LA VALDAVIA, 33;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;887’737.32 €;59%;363’003.28 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;LEGANES;261;20.01.21;PXM LEGANES - CALLE DEL CARMEN2, 10;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;887’512.41 €;15%;755’555.28 €;100%; -   € 
COMUNIDAD VALENCIANA;VALENCIA;VALENCIA;124;28.06.19;PXV CULTURA,1;PLUS;URB.COMERCIAL;NACIONAL7;884’754.98 €;23%;677’459.95 €;27%;492’392.06 €
PRINCIPADO DE ASTURIAS;ASTURIAS;GIJON;192;21.05.21;PXO CALLE AGUADO, 29;PLUS;URB.RESIDENCIAL;NACIONAL6;884’155.51 €;53%;413’157.79 €;100%; -   € 
ISLAS BALEARES;ISLAS BALEARES;PALMA DE MALLORCA;601;25.05.18;PXPM ARAGÓN 5;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;879’733.87 €;-3%;901’774.57 €;-40%;1’260’098.04 €
ANDALUCÍA;CÁDIZ;SAN FERNANDO;131;19.06.20;PXCA SAN RAFAEL, 14;ESTANDAR;URB.COMERCIAL;NACIONAL7;878’452.32 €;24%;666’115.92 €;55%;301’392.55 €
CASTILLA Y LEÓN;ZAMORA;TABARA;371;05.02.21;PXZA TABARA - PUEBLICA,3;ESTANDAR;RURAL;NACIONAL4;876’336.23 €;15%;747’796.32 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;53;10.03.17;PXM PLAZA DEL ÁNGEL, 11;XPLUS;URB.RESIDENCIAL;NACIONAL7;869’336.51 €;21%;689’553.51 €;34%;456’027.15 €
CASTILLA Y LEÓN;SALAMANCA;SALAMANCA;237;14.12.18;PXSA PLAZA GABRIEL Y GALÁN2  6;PLUS;URB.RESIDENCIAL;NACIONAL5;865’502.01 €;2%;850’790.36 €;-11%;946’934.07 €
COMUNIDAD DE MADRID;MADRID;MADRID;244;26.09.12;PXM AGASTIA 48;PLUS;URB.RESIDENCIAL;NACIONAL5;862’163.30 €;1%;856’388.41 €;-26%;1’080’806.79 €
PAÍS VASCO;VIZCAYA;BILBAO;102;05.05.17;PXBI CATALUÑA2, 1;PLUS;URB.RESIDENCIAL;NACIONAL7;861’468.67 €;5%;818’703.68 €;-10%;900’114.17 €
ANDALUCÍA;CÓRDOBA;CARPIO (EL);277;22.04.21;PXCO EL CARPIO;ESTANDAR;RURAL;NACIONAL6;859’426.88 €;40%;516’378.13 €;100%; -   € 
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;145;25.10.19;PXMA ANTONIO MACHADO;ESTANDAR;URB.COMERCIAL;NACIONAL6;857’657.30 €;21%;676’968.05 €;3%;655’368.35 €
CATALUÑA;BARCELONA;VILAFRANCA DEL PENEDES;155;08.10.20;PXB VILAFRANCA DEL PENEDES - GELIDA, 32;PLUS;URB.RESIDENCIAL;NACIONAL6;857’207.80 €;19%;693’458.63 €;77%;158’816.97 €
ANDALUCÍA;HUELVA;HUELVA;231;16.12.16;PXH PASEO DE LA INDEPENDENCIA 51;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;856’260.85 €;6%;805’425.02 €;-15%;925’208.15 €
PAÍS VASCO;VIZCAYA;PORTUGALETE;295;17.04.19;PXBI PORTUGALETE2;PLUS;URB.RESIDENCIAL;NACIONAL5;854’550.19 €;-5%;895’162.76 €;16%;755’816.16 €
CASTILLA Y LEÓN;SALAMANCA;SALAMANCA;209;14.12.21;PXSA PASEO DEL ROLLO;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;853’114.71 €;95%;43’999.18 €;100%; -   € 
COMUNIDAD VALENCIANA;VALENCIA;VALENCIA;169;20.08.14;PXV AVDA. BLASCO IBAÑEZ, 153;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;848’946.65 €;-2%;864’444.71 €;7%;801’219.57 €
PAÍS VASCO;VIZCAYA;BILBAO;178;27.07.15;PXBI CALLE SENDEJA;XPLUS;URB.COMERCIAL;NACIONAL6;848’371.05 €;8%;776’525.11 €;-3%;800’343.18 €
COMUNIDAD DE MADRID;MADRID;MADRID;125;19.06.20;PXM GRAVINA 3;PLUS;URB.COMERCIAL;NACIONAL7;846’999.12 €;11%;756’423.20 €;48%;390’943.22 €
COMUNIDAD DE MADRID;MADRID;BUITRAGO DEL LOZOYA;122;12.07.18;PXM BUITRAGO DE LOZOYA;PLUS;URB.RESIDENCIAL;NACIONAL7;838’124.72 €;1%;828’326.40 €;-7%;884’388.19 €
ANDALUCÍA;CÁDIZ;SAN FERNANDO;149;14.07.17;PXCA SAN FERNANDO - CALLE REAL, 90;ESTANDAR;URB.COMERCIAL;NACIONAL6;835’417.11 €;5%;792’531.26 €;-14%;904’530.08 €
LA RIOJA;LA RIOJA;VILLAMEDIANA DE IREGUA;299;25.04.17;PXLO CALLE PIQUERAS2, 76;PLUS;URB.RESIDENCIAL;NACIONAL4;834’890.69 €;11%;744’890.50 €;-8%;800’879.57 €
ANDALUCÍA;HUELVA;HUELVA;222;09.06.17;PXH AVDA ALEMANIA, 27;ESTANDAR;URB.COMERCIAL;NACIONAL5;832’147.66 €;9%;758’985.11 €;-11%;843’985.72 €
COMUNIDAD DE MADRID;MADRID;MADRID;155;18.10.13;PXM MAIQUEZ;PLUS;URB.RESIDENCIAL;NACIONAL6;830’684.91 €;-9%;902’103.97 €;-9%;985’320.27 €
EXTREMADURA;BADAJOZ;MERIDA;199;12.06.15;PXBA MÉRIDA - PLAZA SANTA MARÍA, 1;PLUS;URB.COMERCIAL;NACIONAL6;830’663.54 €;17%;692’662.44 €;1%;686’300.64 €
COMUNIDAD DE MADRID;MADRID;MADRID;251;29.10.21;PXM SANTA ENGRACIA 3;PLUS;URB.RESIDENCIAL;NACIONAL5;828’143.30 €;85%;125’773.33 €;100%; -   € 
COMUNIDAD VALENCIANA;VALENCIA;VALENCIA;181;14.05.21;PXV AVDA. MANUEL CANDELA, 56;PLUS;URB.RESIDENCIAL;NACIONAL6;826’965.21 €;41%;483’923.30 €;100%; -   € 
ANDALUCÍA;SEVILLA;SEVILLA;117;22.03.19;PXSE ANTONIA DÍAZ;ESTANDAR;URB.COMERCIAL;NACIONAL7;824’735.47 €;26%;610’495.51 €;17%;509’690.15 €
COMUNIDAD DE MADRID;MADRID;MADRID;112;21.06.17;PXM CALLE DESENGAÑO, 12;PLUS;URB.COMERCIAL;NACIONAL6;824’565.21 €;-11%;914’132.88 €;10%;822’848.87 €
COMUNIDAD FORAL DE NAVARRA;NAVARRA;PAMPLONA/IRUÑA;99;15.11.18;PXNA ANELIER;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;824’043.22 €;14%;704’722.07 €;13%;609’711.69 €
CANTABRIA;CANTABRIA;SANTANDER;161;17.07.20;PXS GENERAL DÁVILA, 306;PLUS;URB.RESIDENCIAL;NACIONAL6;823’371.48 €;16%;693’287.17 €;58%;291’784.24 €
CASTILLA Y LEÓN;SALAMANCA;SALAMANCA;209;14.12.19;PXSA CANALEJAS;PLUS;URB.RESIDENCIAL;NACIONAL5;818’917.09 €;16%;684’215.92 €;5%;652’669.46 €
CATALUÑA;LÉRIDA;LLEIDA;275;29.05.20;PXL CALLE MARIOLA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;816’461.54 €;7%;756’199.44 €;44%;423’658.77 €
COMUNIDAD DE MADRID;MADRID;MOSTOLES;265;26.06.20;PXM MOSTOLES - EMPECINADO2;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;814’339.73 €;-15%;934’678.12 €;56%;409’359.49 €
ANDALUCÍA;GRANADA;ALHENDIN;286;14.12.21;PXGR ALHENDIN - CTRA BAILEN;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;813’564.50 €;95%;41’213.23 €;100%; -   € 
COMUNIDAD VALENCIANA;VALENCIA;VALENCIA;159;23.12.15;PXV PADRE HUÉRFANOS;ESTANDAR;URB.COMERCIAL;NACIONAL6;812’851.07 €;12%;713’861.26 €;-1%;719’197.79 €
PAÍS VASCO;VIZCAYA;PLENTZIA;171;08.11.19;PXBI PLENTZIA3;PLUS;URB.RESIDENCIAL;NACIONAL7;812’729.23 €;3%;788’753.66 €;-1%;794’478.95 €
PAÍS VASCO;GUIPÚZCOA;LASARTE-ORIA;664;16.05.12;PXSS LASARTE 2;PLUS;URB.RESIDENCIAL;NACIONAL4;809’703.54 €;4%;776’311.67 €;-4%;810’237.82 €
PAÍS VASCO;VIZCAYA;BERANGO;179;25.10.18;PXBI SABINO ARANA;PLUS;URB.RESIDENCIAL;NACIONAL6;809’019.63 €;10%;726’986.50 €;-6%;771’575.70 €
COMUNIDAD DE MADRID;MADRID;MADRID;129;04.02.17;PXM FUENCARRAL 3;PLUS;URB.COMERCIAL;NACIONAL7;808’173.66 €;-27%;1’027’024.33 €;-27%;1’299’951.20 €
ANDALUCÍA;SEVILLA;SEVILLA;216;04.10.13;PXSE SAUCEDA, 5;PLUS;URB.COMERCIAL;NACIONAL6;805’648.35 €;25%;601’819.45 €;-2%;611’696.94 €
COMUNIDAD DE MADRID;MADRID;MADRID;143;15.10.21;PXM PASTORA IMPRERIO2;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;805’061.21 €;82%;142’982.57 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;343;12.07.19;PXM JUAN ÁLV MEND 4;PLUS;URB.RESIDENCIAL;NACIONAL6;803’867.87 €;7%;747’519.98 €;-14%;851’703.46 €
LA RIOJA;LA RIOJA;LOGROÑO;221;29.11.17;PXLO BEATOS MENA Y NAVARRETE, 50;PLUS;URB.RESIDENCIAL;NACIONAL5;799’774.38 €;8%;737’673.31 €;-9%;803’763.73 €
LA RIOJA;LA RIOJA;ALBELDA DE IREGUA;208;18.12.20;PXLO ALBELDA DE IREGUA - ESCUELAS PIAS;ESTANDAR;RURAL;NACIONAL5;797’889.47 €;10%;721’707.59 €;96%;30’257.37 €
PRINCIPADO DE ASTURIAS;ASTURIAS;OVIEDO;143;21.08.20;PXO FUNDACIÓN PPE ASTURIAS 2;PLUS;URB.RESIDENCIAL;NACIONAL5;796’284.25 €;21%;627’864.74 €;73%;170’133.22 €
COMUNIDAD DE MADRID;MADRID;ALCOBENDAS;174;20.05.20;PXM ALCOBENDAS - CALLE SEGOVIA;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;795’280.30 €;7%;739’150.38 €;44%;414’459.70 €
ANDALUCÍA;CÁDIZ;PATERNA DE RIVERA;280;16.07.21;PXCA PATERNA DE RIVERA - BLAS INFANTE;ESTANDAR;RURAL;NACIONAL5;794’835.67 €;59%;322’380.69 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;87;19.06.20;PXM EMBAJADORES 2;XPLUS;URB.COMERCIAL;NACIONAL7;794’283.39 €;4%;760’576.13 €;53%;354’923.62 €
COMUNIDAD VALENCIANA;VALENCIA;VALENCIA;220;04.02.20;PXV GRAN VÍA FNDO EL CATÓLICO IV, 22;PLUS;URB.COMERCIAL;NACIONAL6;790’076.80 €;14%;682’351.93 €;15%;578’403.76 €
COMUNIDAD DE MADRID;MADRID;MADRID;115;29.06.18;PXM CASTELLÓ, 81;XPLUS;URB.RESIDENCIAL;NACIONAL7;789’209.95 €;11%;701’732.36 €;0%;705’139.92 €
PAÍS VASCO;VIZCAYA;ETXEBARRI, ANTEIGLESIA DE SAN;233;13.10.17;PXBI JULIAN GAYARRE 2;PLUS;URB.RESIDENCIAL;NACIONAL5;786’626.27 €;5%;747’644.21 €;-13%;845’912.44 €
PRINCIPADO DE ASTURIAS;ASTURIAS;GIJON;194;26.11.21;PXO PASEO BEGOÑA, 5;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;786’440.51 €;93%;56’141.52 €;100%; -   € 
CANTABRIA;CANTABRIA;LIERGANES;158;15.05.13;PXS LIERGANES;XPLUS;URB.RESIDENCIAL;NACIONAL6;785’634.26 €;12%;694’234.52 €;-6%;734’952.02 €
COMUNIDAD VALENCIANA;ALICANTE;GUARDAMAR DEL SEGURA;445;;PXA GUARDAMAR;XPLUS;URB.RESIDENCIAL;NACIONAL4;783’441.69 €;17%;653’335.30 €;0%;650’688.17 €
ANDALUCÍA;SEVILLA;SEVILLA;286;15.12.15;PXSE LUIS MONTOTO, 46-2;PLUS;URB.COMERCIAL;NACIONAL5;778’726.13 €;9%;709’781.13 €;-16%;825’436.35 €
ARAGÓN;TERUEL;TERUEL;100;19.10.17;PXTE RAMBLA SAN JULIAN 2;ESTANDAR;URB.RESIDENCIAL;NACIONAL7;777’059.77 €;14%;667’175.84 €;1%;663’636.25 €
EXTREMADURA;BADAJOZ;BADAJOZ;214;02.12.16;PXBA FRANCISCO VACA MORALES,8;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;776’302.11 €;5%;735’552.56 €;-3%;756’317.27 €
CANTABRIA;CANTABRIA;SANTANDER;148;19.02.16;PXS AVDA. DE LOS CASTROS, 79;XPLUS;URB.RESIDENCIAL;NACIONAL6;773’701.08 €;8%;715’354.02 €;-5%;749’427.86 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;168;30.07.13;PXMA CALLE JANO 4;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;773’602.80 €;5%;735’657.42 €;-10%;806’263.90 €
ANDALUCÍA;SEVILLA;SEVILLA;190;20.11.20;PXSE MENENDEZ Y PELAYO, 33;ESTANDAR;URB.COMERCIAL;NACIONAL7;772’221.89 €;28%;555’994.17 €;92%;44’969.43 €
EXTREMADURA;BADAJOZ;BADAJOZ;242;04.12.15;PXBA DAMIÁN TELLEZ;PLUS;URB.RESIDENCIAL;NACIONAL5;767’959.42 €;7%;710’959.58 €;-8%;764’856.48 €
COMUNIDAD FORAL DE NAVARRA;NAVARRA;HUARTE/UHARTE;242;11.03.16;PXNA HUARTE;PLUS;URB.RESIDENCIAL;NACIONAL5;765’769.88 €;6%;720’495.75 €;-3%;742’516.95 €
CASTILLA Y LEÓN;LEÓN;LEON;298;07.10.21;PXLE SUERO DE QUIÑONES, 19;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;762’526.60 €;79%;157’568.99 €;100%; -   € 
ANDALUCÍA;CÁDIZ;ALGECIRAS;216;25.09.20;PXCA ALGECIRAS - PABLO MAYAYO 2;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;760’191.21 €;-4%;790’670.40 €;71%;232’646.02 €
EXTREMADURA;BADAJOZ;BADAJOZ;146;22.02.17;PXBA AVDA. PARDALERAS, 2;PLUS;URB.RESIDENCIAL;NACIONAL6;759’460.60 €;4%;729’172.11 €;-4%;756’256.46 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;172;23.03.16;PXMA CALLE ANDALUCIA 30;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;755’352.57 €;-14%;863’380.38 €;-11%;962’565.73 €
CASTILLA LA MANCHA;GUADALAJARA;GUADALAJARA;142;06.10.17;PXGU VIZCONDESA DE JORBALAN;ESTANDAR;URB.RESIDENCIAL;NACIONAL7;753’964.77 €;6%;705’226.54 €;-1%;713’860.27 €
PAÍS VASCO;GUIPÚZCOA;IRUN;139;18.03.16;PXSS LOPE DE PRIMAUT;PLUS;URB.RESIDENCIAL;NACIONAL6;753’375.21 €;6%;705’155.55 €;-13%;795’863.06 €
ANDALUCÍA;GRANADA;GRANADA;267;08.09.21;PXGR ANGEL GANIVET, 5;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;752’984.01 €;73%;205’127.27 €;100%; -   € 
COMUNIDAD FORAL DE NAVARRA;NAVARRA;PAMPLONA/IRUÑA;196;31.01.20;PXNA PADRE TOMÁS ESTEBAN;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;751’982.83 €;13%;652’018.18 €;19%;525’571.36 €
COMUNIDAD DE MADRID;MADRID;TRES CANTOS;193;11.10.19;PXM TRES CANTOS;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;749’813.12 €;-11%;832’380.00 €;-15%;958’767.12 €
COMUNIDAD DE MADRID;MADRID;MADRID;190;30.10.20;PXM MONTESA2, 13;PLUS;URB.RESIDENCIAL;NACIONAL6;748’970.15 €;9%;679’233.80 €;80%;137’002.43 €
ANDALUCÍA;SEVILLA;SEVILLA;144;13.12.13;PXSE CALLE FERIA;ESTANDAR;URB.COMERCIAL;NACIONAL5;747’374.93 €;12%;660’145.35 €;-8%;714’620.00 €
ANDALUCÍA;GRANADA;GRANADA;252;28.08.20;PXGR CAMINO DE RONDA, 80;ESTANDAR;URB.COMERCIAL;NACIONAL6;741’822.70 €;15%;627’105.01 €;65%;222’011.55 €
